ParticipantNumber,FOC_0,FOC_1,FOC_10,FOC_11,cooperativeness_0,cooperativeness_1,cooperativeness_10,cooperativeness_11,rewardFairness_0,rewardFairness_1,rewardFairness_10,rewardFairness_11,SPQ_0,SPQ_1,SPQ_10,SPQ_11
P01,3.9,4.2,8.45,8.4,3.55,3.45,8.35,8.55,6.5,6.8,8.7,8.45,28.0,28.5,37.16666666666666,35.5
P02,9.0,9.0,9.0,8.0,8.6,7.65,9.0,7.9,9.0,8.9,8.6,7.65,33.166666666666664,30.666666666666668,22.5,30.33333333333333
P03,6.15,7.9,5.9,7.35,4.8,6.5,5.6,7.4,7.5,7.7,6.05,8.15,25.166666666666668,33.5,20.0,33.5
P04,6.8,8.95,7.9,8.8,6.3,8.95,8.2,8.75,7.35,9.0,5.45,8.5,22.0,34.5,18.83333333333333,35.0
P05,8.5,9.0,8.9,8.95,8.5,8.6,8.95,8.95,8.8,9.0,9.0,9.0,24.33333333333333,28.666666666666668,24.5,28.0
P06,8.7,9.0,9.0,8.95,5.55,8.05,8.95,8.85,8.9,8.95,9.0,9.0,34.166666666666664,36.333333333333336,37.333333333333336,35.833333333333336
P07,5.95,6.9,6.8,6.9,5.6,6.35,6.2,6.25,5.35,5.8,5.5,6.1,20.83333333333333,21.33333333333333,25.5,22.0
P08,2.1,4.7,3.8,6.35,2.15,5.85,4.05,6.5,3.6,9.0,5.3,6.95,9.333333333333334,30.0,10.666666666666666,31.166666666666668
P09,1.0,1.25,9.0,8.6,1.0,1.2,8.95,8.7,8.9,9.0,9.0,8.95,10.0,23.5,13.333333333333334,23.5
P10,1.2,1.95,8.95,8.95,1.0,1.0,8.95,8.5,8.4,7.4,9.0,8.95,27.33333333333333,26.33333333333333,27.166666666666668,28.33333333333333
P11,5.45,5.65,4.7,7.2,5.0,4.65,5.2,7.35,5.85,5.6,5.0,6.9,28.166666666666668,32.0,26.0,32.666666666666664
P12,4.85,4.95,4.7,5.7,2.45,1.0,3.05,4.0,4.65,4.8,4.15,4.95,23.166666666666668,23.166666666666668,18.83333333333333,24.33333333333333
P13,4.6,7.9,7.55,8.8,5.2,7.5,7.8,8.85,5.85,7.8,7.45,7.85,24.166666666666668,37.333333333333336,34.833333333333336,38.0
P14,6.0,6.55,5.75,7.35,4.25,6.1,6.25,7.4,5.15,5.35,5.75,6.15,20.666666666666668,24.83333333333333,23.666666666666668,28.83333333333333
P15,3.8,4.95,7.8,7.25,3.8,4.65,7.75,7.3,5.0,5.45,7.75,7.3,28.33333333333333,26.0,32.333333333333336,33.166666666666664
P16,6.5,5.3,7.2,6.65,5.85,3.5,6.2,6.25,6.95,5.55,6.85,6.55,21.0,26.33333333333333,23.5,29.0
P17,6.4,6.0,6.3,5.9,5.45,5.1,6.3,5.3,6.7,6.15,5.95,5.9,27.0,29.83333333333333,28.666666666666668,26.666666666666668
P18,7.5,7.1,8.15,7.05,6.15,4.25,8.1,5.7,7.4,6.85,8.1,7.15,28.0,24.83333333333333,28.5,22.5
P19,8.85,9.0,9.0,8.8,1.9,1.4,6.25,8.6,8.45,8.6,5.0,8.2,28.166666666666668,26.5,17.666666666666668,17.5
P20,1.0,4.7,7.85,9.0,1.0,2.35,7.75,9.0,8.95,9.0,8.75,8.65,11.833333333333334,20.166666666666668,20.666666666666668,26.33333333333333
P21,8.6,9.0,9.0,9.0,7.95,9.0,9.0,9.0,8.6,9.0,9.0,9.0,34.166666666666664,40.0,23.5,40.66666666666666
P22,7.3,8.0,8.0,8.0,7.35,8.05,8.0,7.65,7.3,7.9,7.65,8.0,29.5,28.0,26.5,32.166666666666664
P23,5.55,6.4,5.7,6.05,3.15,5.35,7.85,5.55,6.6,6.7,7.65,6.95,19.0,23.83333333333333,31.83333333333333,27.666666666666668
P24,9.0,8.55,8.95,9.0,1.15,5.1,9.0,8.25,7.95,8.75,8.6,8.5,23.5,21.0,25.5,24.166666666666668
P25,8.95,9.0,8.9,9.0,8.9,9.0,9.0,9.0,8.6,9.0,8.7,8.25,31.666666666666668,34.166666666666664,35.166666666666664,31.166666666666668
P26,3.6,4.3,6.8,7.0,2.65,3.35,6.6,5.75,7.1,6.9,6.6,5.4,26.5,28.83333333333333,19.5,28.166666666666668
P27,5.45,3.0,7.25,5.95,5.1,1.2,7.3,6.75,6.25,3.9,7.5,6.4,15.5,22.83333333333333,10.5,21.83333333333333
P28,7.05,7.1,8.05,8.65,5.7,1.0,8.15,8.4,7.8,6.2,8.0,8.65,21.5,26.666666666666668,19.33333333333333,18.666666666666668
P29,7.4,8.45,8.85,7.3,1.15,1.4,7.85,7.8,8.85,8.95,8.0,6.5,18.666666666666668,15.333333333333334,11.833333333333334,20.83333333333333
P30,6.5,7.3,7.15,7.6,5.05,7.2,7.05,7.95,4.8,5.75,7.95,8.3,20.33333333333333,30.33333333333333,29.666666666666668,31.83333333333333
P31,5.1,5.1,6.6,5.95,3.3,3.85,6.0,6.15,5.0,4.95,5.8,5.95,26.5,26.33333333333333,25.33333333333333,25.0
P32,1.8,2.45,7.95,8.1,1.95,2.2,7.95,7.8,7.25,6.95,7.8,7.3,25.0,28.666666666666668,28.83333333333333,32.0
